id,logV_SAEM,logCl_SAEM,logV_mean,logCl_mean,logV_mode,logCl_mode,logV_sd,logCl_sd
1,4.36188,1.19686,4.33301,1.18327,4.34439,1.19494,0.0642975,0.0325808
2,4.43403,0.76739,4.44888,0.77241,4.43191,0.776661,0.0614854,0.025565
3,5.00626,1.65485,5.02407,1.65735,5.00007,1.65986,0.0713432,0.0336275
4,4.78439,1.87786,4.78216,1.87715,4.7991,1.88804,0.052084,0.0326943
5,4.01254,1.45631,4.01423,1.45231,4.00111,1.45201,0.0498476,0.0334196
6,3.81742,1.06689,3.84762,1.07984,3.82294,1.07199,0.0502372,0.0279774
7,4.23007,1.54641,4.23945,1.55456,4.23907,1.55529,0.0466608,0.0260377
8,3.9666,1.66238,3.98454,1.67756,3.98081,1.67265,0.0389749,0.0308012
9,4.8829,1.33962,4.87866,1.34113,4.87014,1.34074,0.0703349,0.0319061
10,4.3714,1.63854,4.36871,1.63792,4.36213,1.63768,0.0464106,0.0281925
11,4.2733,1.24757,4.28579,1.25523,4.27397,1.25427,0.0480149,0.0247735
12,4.14387,0.863727,4.14506,0.871984,4.12801,0.869912,0.0661414,0.0241097
13,4.02986,1.89055,4.0162,1.87863,4.03281,1.89189,0.0413552,0.0319987
14,4.3418,1.0266,4.35807,1.03433,4.34598,1.03322,0.0670038,0.0326764
15,4.04006,1.93644,4.0392,1.93731,4.04816,1.94376,0.0428848,0.0322405
16,4.00989,1.49516,4.06556,1.5384,4.04255,1.52389,0.0386856,0.0246727
17,4.45453,1.23997,4.44341,1.24186,4.44066,1.23977,0.0492007,0.0309973
18,4.22716,1.61159,4.23058,1.61056,4.23959,1.62082,0.0449455,0.0305315
19,4.35194,1.23956,4.31113,1.22346,4.31943,1.23345,0.0494719,0.0267227
20,4.66218,1.54864,4.69188,1.56678,4.6623,1.55306,0.0553484,0.0272713
21,4.16591,1.30103,4.1466,1.29086,4.14135,1.29118,0.044189,0.0238024
22,4.55179,1.12066,4.55094,1.12573,4.53033,1.12524,0.0545348,0.0245071
23,4.42378,1.5924,4.39984,1.58358,4.40127,1.58779,0.0551341,0.0302501
24,4.12842,1.21433,4.12152,1.2159,4.11702,1.21489,0.0656462,0.0402143
25,3.96719,1.16609,3.97545,1.17128,3.96474,1.16681,0.0456623,0.0264542
26,4.68508,1.32411,4.67352,1.32421,4.67767,1.32872,0.0515684,0.0269397
27,3.96112,1.00693,3.94238,1.00106,3.96166,1.01403,0.0506418,0.034644
28,4.67535,1.52452,4.65653,1.51339,4.66844,1.52457,0.0506432,0.0316235
29,3.6603,1.6953,3.65531,1.69333,3.66721,1.70259,0.0338273,0.0298087
30,4.02665,1.40583,4.03465,1.41274,4.0224,1.40607,0.0379581,0.0247944
31,4.22043,1.45792,4.20662,1.45208,4.20707,1.45572,0.0503033,0.0317877
