id,eta_logV_SAEM,eta_logVm_SAEM,eta_logKm_SAEM,eta_logV_mean,eta_logVm_mean,eta_logKm_mean,eta_logV_mode,eta_logVm_mode,eta_logKm_mode,eta_logV_sd,eta_logVm_sd,eta_logKm_sd
1,-0.158721,-0.232676,0.413011,-0.154929,-0.234818,0.448577,-0.155057,-0.223741,0.444749,0.084018,0.152312,0.461802
2,-0.114452,0.0647633,0.306002,-0.121814,0.0588264,0.279609,-0.134621,0.109014,0.29531,0.0833797,0.174079,0.450147
3,0.200475,0.0629514,0.539167,0.176463,-0.0140642,0.359252,0.162042,-0.0416248,0.298887,0.0717802,0.164313,0.318496
4,0.413959,0.181248,-0.0502804,0.437101,0.113279,-0.164899,0.424119,0.131224,-0.138032,0.0578636,0.162942,0.219465
5,-0.490649,-0.00240099,0.243004,-0.489083,-0.0225829,0.192659,-0.488973,0.00391584,0.302633,0.0770475,0.183265,0.49269
6,0.123719,0.368653,-0.561086,0.150269,0.302681,-0.698906,0.131993,0.312239,-0.664953,0.0629683,0.1137,0.217883
7,0.371155,-0.0135814,-0.190598,0.35199,0.00478251,-0.17728,0.345215,0.0409459,-0.0904866,0.0789637,0.116525,0.340069
8,-0.217138,0.366435,-0.612591,-0.192664,0.182537,-0.882865,-0.20756,0.225123,-0.815826,0.0439272,0.10129,0.151992
9,-0.285289,-0.0538036,-0.757634,-0.264522,-0.0714749,-0.826972,-0.282231,-0.0577939,-0.778775,0.0435639,0.0542537,0.151348
10,-0.0390568,0.158611,-0.399432,-0.0360522,0.0560466,-0.55374,-0.0381962,0.081332,-0.519301,0.0453496,0.100586,0.14961
11,-0.0047848,0.0910669,0.222589,-0.00982838,0.00615159,0.0316195,-0.0125716,0.0251027,0.0719434,0.0614203,0.109286,0.233046
12,0.391363,0.0266057,-0.278105,0.426082,-0.0110364,-0.284507,0.40316,0.0458949,-0.163334,0.0773526,0.125479,0.418535
13,0.0716087,0.0986585,0.307181,0.0640458,0.0900954,0.300427,0.028426,0.109784,0.22803,0.0956792,0.125269,0.3242
14,-0.24113,0.363694,0.17104,-0.172412,0.272773,0.198075,-0.212736,0.363112,0.211938,0.0963023,0.180574,0.378399
15,0.226624,0.141239,-0.790581,0.256084,0.106986,-0.869642,0.219153,0.184992,-0.746334,0.0486556,0.0881069,0.133169
16,-0.0343268,0.102224,0.413268,-0.050037,0.108331,0.272083,-0.0695257,0.153617,0.265253,0.0732478,0.157681,0.502288
17,-0.304786,-0.202425,0.567649,-0.303247,-0.14991,0.716899,-0.327099,-0.16449,0.569902,0.0796185,0.130478,0.370101
18,0.273172,-0.113957,0.183937,0.263579,-0.104681,0.201524,0.237474,-0.112438,0.0443245,0.103365,0.140969,0.46574
19,0.224132,0.409436,-0.516558,0.2729,0.275572,-0.780719,0.241184,0.342985,-0.64901,0.0456399,0.0646571,0.129068
20,-0.134697,0.128669,-0.628997,-0.132841,0.0995922,-0.697364,-0.116189,0.0680986,-0.774138,0.0436077,0.0663615,0.143693
21,-0.223344,0.155036,-0.558409,-0.237661,0.185029,-0.525723,-0.235001,0.172714,-0.544338,0.0517307,0.0845343,0.124557
22,-0.515262,0.159454,0.206968,-0.521546,0.146561,0.0529154,-0.526448,0.181891,0.16251,0.0782326,0.146547,0.454867
23,0.237618,-0.230054,0.324658,0.235167,-0.177875,0.406406,0.236549,-0.190424,0.318642,0.0631384,0.20775,0.530396
24,-0.200285,0.160498,-0.404771,-0.238556,0.340999,-0.172796,-0.215286,0.214047,-0.344709,0.0434334,0.0738883,0.103173
25,-0.438038,-0.284698,0.399789,-0.484972,-0.140903,0.427832,-0.477532,-0.159904,0.366698,0.060479,0.182431,0.501117
