id,logka_SAEM,logV1_SAEM,logQ_SAEM,logV2_SAEM,logVm_SAEM,logKm_SAEM,logka_mean,logV1_mean,logQ_mean,logV2_mean,logVm_mean,logKm_mean,logka_mode,logV1_mode,logQ_mode,logV2_mode,logVm_mode,logKm_mode,logka_sd,logV1_sd,logQ_sd,logV2_sd,logVm_sd,logKm_sd
1,-0.0254588,4.67029,1.71258,3.93431,6.87735,6.02459,0.00373934,4.69084,1.61324,3.87645,6.85898,6.00823,-0.0272981,4.68162,1.70693,3.88123,6.89677,5.99353,0.174911,0.100474,0.451804,0.258431,0.165124,0.24736
2,-0.0747782,4.03474,1.74683,4.27492,6.86867,5.57837,-0.0249105,4.06604,1.69837,4.23886,7.04895,5.79561,-0.0251544,4.08408,1.6957,4.24211,6.99891,5.70931,0.185538,0.129332,0.269883,0.220381,0.154834,0.186366
3,-0.0865681,4.07362,1.23062,4.13087,6.9844,5.68716,-0.0942343,4.07783,1.18283,4.1323,6.99937,5.74785,-0.10553,4.08546,1.19282,4.14419,7.00649,5.70144,0.186326,0.118006,0.278823,0.22109,0.144836,0.312726
4,-0.212106,4.49753,1.69779,3.97038,7.01538,5.87471,-0.145172,4.55094,1.51777,3.95507,6.93007,5.79248,-0.18852,4.534,1.55299,3.96694,6.9577,5.78943,0.165725,0.10251,0.378231,0.241809,0.160277,0.223526
5,-0.0334071,4.17605,1.27045,4.08316,7.05147,5.6554,-0.0586918,4.15341,1.28671,4.09391,7.04745,5.64744,-0.070878,4.16476,1.24886,4.11139,7.05461,5.61311,0.187236,0.111356,0.339282,0.234185,0.146144,0.313207
6,0.0644392,4.56275,1.20564,4.00694,7.10441,5.17858,0.104386,4.59645,1.239,3.87419,7.18527,5.28364,0.0652907,4.58795,1.14936,3.85787,7.14062,5.1686,0.152949,0.0966019,0.493782,0.2955,0.136411,0.255449
7,-3.40151e-5,4.00719,1.57493,3.66149,6.9474,5.5769,-0.000644031,4.0118,1.46314,3.67918,6.92567,5.55839,-0.000594747,4.01595,1.55484,3.60841,6.96974,5.58036,0.170585,0.121861,0.477991,0.224461,0.13628,0.271159
8,-0.0494764,4.40346,1.59506,4.12789,6.96538,5.58386,-0.0479775,4.39823,1.61312,4.11953,6.98013,5.59985,-0.0715901,4.40282,1.66646,4.09315,7.01956,5.60884,0.177655,0.124616,0.350843,0.227512,0.176464,0.214772
9,0.262384,4.46482,1.65404,3.99644,7.07035,5.5776,0.304095,4.48572,1.57521,4.03453,7.05348,5.58472,0.296306,4.50226,1.564,3.99953,7.04248,5.52814,0.186232,0.109715,0.380375,0.217168,0.157474,0.19746
10,0.026111,3.89161,1.50478,3.69711,7.18865,5.50144,0.0527383,3.93378,1.4235,3.68684,6.98386,5.26303,0.0140203,3.91803,1.48836,3.68536,7.05332,5.33617,0.175409,0.123009,0.304091,0.160252,0.179349,0.228583
11,-0.00410291,4.41023,1.41253,3.76144,6.94971,5.9188,-0.00320016,4.40815,1.39774,3.76234,6.89009,5.80266,-0.0033281,4.41753,1.40532,3.72256,6.92176,5.78244,0.181396,0.111538,0.467911,0.244954,0.168558,0.29057
12,0.325118,4.42946,1.78227,4.19854,6.96603,5.77023,0.304836,4.42913,1.76394,4.20413,6.9757,5.78466,0.267691,4.41438,1.82437,4.21538,6.98888,5.75592,0.179217,0.116363,0.346495,0.227605,0.15575,0.255582
13,-0.0417572,4.6804,1.46692,4.04178,7.03976,5.68361,-0.0639716,4.65759,1.50818,4.08705,6.9931,5.63138,-0.0594869,4.67728,1.47987,4.0632,7.01091,5.62167,0.169244,0.101373,0.349091,0.244879,0.172459,0.21296
14,0.218491,3.72844,1.09347,4.22352,6.96884,5.65126,0.215082,3.7087,1.19035,4.18202,7.00944,5.67244,0.200098,3.71252,1.15708,4.20493,7.02312,5.67813,0.150761,0.0967141,0.213533,0.206995,0.148783,0.336067
15,-0.136392,4.10944,1.45315,4.37227,6.95448,5.86594,-0.208049,4.05641,1.52685,4.38942,6.94762,5.85676,-0.206125,4.06754,1.53022,4.39008,6.97266,5.85449,0.174283,0.122657,0.226935,0.211168,0.179578,0.250179
16,-0.123287,4.49405,1.48677,3.79748,6.94593,5.78604,-0.121368,4.50684,1.35015,3.82796,6.92186,5.77696,-0.136698,4.51203,1.31406,3.8104,6.94258,5.74684,0.169065,0.105166,0.482403,0.24862,0.171394,0.370128
17,-0.33443,3.96996,1.40499,3.79934,6.8348,5.54097,-0.320798,3.97304,1.42503,3.73953,6.90727,5.64121,-0.34837,3.96546,1.47218,3.71445,6.94141,5.63469,0.167984,0.10981,0.299885,0.212884,0.156365,0.305251
18,-0.177035,4.49359,1.4864,4.16697,7.10812,5.58859,-0.173525,4.48689,1.45374,4.16521,7.05279,5.52794,-0.190005,4.49817,1.44736,4.15219,7.05293,5.5007,0.182587,0.119688,0.317805,0.24555,0.174224,0.209132
19,-0.179954,3.50345,1.38903,3.64083,6.66217,6.11536,-0.114674,3.55539,1.34461,3.58514,6.68455,6.13613,-0.136091,3.54618,1.38383,3.61762,6.68794,6.13833,0.167115,0.109439,0.277308,0.167865,0.157456,0.405505
20,-0.0124844,3.95537,1.55826,3.88933,6.85458,5.9382,0.00296607,3.9675,1.55605,3.85525,6.87848,5.96221,0.00302996,3.97735,1.56175,3.83552,6.8953,5.93522,0.164439,0.118701,0.316607,0.210245,0.174207,0.246743
21,0.0269934,4.21605,1.44503,4.30288,7.3761,4.66668,0.0273347,4.20845,1.32371,4.20936,7.48056,4.84662,0.013642,4.21296,1.3937,4.24538,7.43193,4.74804,0.177347,0.120256,0.234556,0.137688,0.124365,0.183406
22,-0.0199254,4.55805,1.15419,4.00155,7.01239,5.72462,-0.0138575,4.56568,1.25936,3.88247,6.97719,5.6362,-0.0150832,4.58272,1.06775,3.90315,6.98676,5.61749,0.15727,0.101659,0.522708,0.262952,0.157149,0.273319
23,0.0354403,3.99806,1.37137,4.26049,7.24117,5.33913,-0.00256856,3.99541,1.41043,4.25757,7.13767,5.19911,-0.00261878,3.99557,1.46175,4.24576,7.16817,5.21662,0.182045,0.117474,0.245271,0.159894,0.194107,0.246584
24,-0.154985,4.27016,1.51109,3.89501,7.16792,5.62314,-0.135126,4.29145,1.38494,3.9406,7.07047,5.45606,-0.177922,4.2722,1.49236,3.92186,7.12165,5.44265,0.175577,0.114472,0.399597,0.246006,0.14514,0.342105
25,0.221795,4.3117,1.38509,3.99677,6.80575,5.9963,0.149256,4.27574,1.40106,4.05673,6.87845,6.09915,0.12499,4.26759,1.45008,4.07042,6.88631,6.0606,0.188281,0.110588,0.322446,0.239653,0.172533,0.219223
26,0.24271,3.80647,1.12904,3.89738,6.93069,5.80908,0.258875,3.81311,1.10594,3.88436,6.91703,5.7592,0.267014,3.84037,1.01037,3.8837,6.93114,5.76467,0.16974,0.115305,0.355728,0.214743,0.145881,0.368548
27,-0.0669325,4.49352,1.58453,4.06348,6.83545,5.98929,-0.0471777,4.51406,1.54686,4.01372,6.86555,5.97047,-0.0463329,4.52962,1.52683,3.99974,6.87815,5.93509,0.166904,0.109586,0.382499,0.234153,0.168159,0.333586
28,-0.263727,4.03295,1.33845,3.76844,6.96394,5.68847,-0.207211,4.09125,1.14575,3.81546,6.99089,5.74591,-0.235175,4.08182,1.26701,3.72152,6.96703,5.66393,0.175622,0.122291,0.431059,0.245937,0.166776,0.194564
29,-0.306717,4.38582,1.56894,4.08149,7.10064,5.57722,-0.292325,4.40213,1.5553,4.02555,7.05198,5.51022,-0.334193,4.39067,1.63209,4.03254,7.05149,5.49008,0.157206,0.116573,0.367285,0.208153,0.163194,0.190384
30,-0.191181,4.50823,1.46615,4.15371,6.91342,5.91762,-0.214097,4.48997,1.50082,4.14943,6.90291,5.88236,-0.217966,4.50113,1.48845,4.17457,6.9375,5.89416,0.172332,0.103169,0.33821,0.236204,0.172895,0.27288
31,-0.374771,4.48683,1.38564,4.13422,6.96024,6.00292,-0.394489,4.45542,1.44866,4.15324,6.92407,5.922,-0.397124,4.4722,1.42627,4.14004,6.93311,5.8977,0.169198,0.106254,0.316282,0.225645,0.160509,0.24466
32,-0.291379,4.09399,1.42188,3.83557,7.15523,5.22561,-0.329173,4.05485,1.5289,3.86064,7.10835,5.15512,-0.353839,4.05477,1.57104,3.85581,7.13841,5.18397,0.178023,0.12457,0.319869,0.186433,0.139003,0.199401
33,-0.214525,4.23042,1.37098,3.94393,6.93059,6.01477,-0.220113,4.23774,1.25996,3.92301,6.90852,5.99354,-0.215835,4.26754,1.15125,3.88812,6.90813,5.9523,0.17687,0.118077,0.394659,0.240427,0.167174,0.208194
34,0.411339,4.65539,1.32562,3.83335,6.92493,5.98832,0.344919,4.62778,1.44664,3.84951,6.89319,5.94654,0.314744,4.61988,1.4912,3.80485,6.91374,5.90498,0.184801,0.116385,0.524413,0.263222,0.180304,0.260539
35,0.476139,4.14521,1.5783,4.23089,6.96763,5.54661,0.463529,4.13658,1.55195,4.15491,7.04468,5.64117,0.452448,4.13737,1.55551,4.16065,7.04152,5.60635,0.175555,0.118237,0.296946,0.217247,0.159666,0.214651
36,0.133869,4.32445,0.690943,3.93677,7.02378,5.26819,0.0705758,4.28122,0.863373,3.92938,7.04903,5.31519,0.0771135,4.30936,0.680354,3.84354,7.04054,5.26971,0.181099,0.113721,0.454126,0.290738,0.155315,0.201285
37,-0.113019,3.87489,0.990801,3.95674,6.87594,5.70348,-0.169095,3.83201,1.06962,3.93352,6.92394,5.76277,-0.173694,3.83935,1.06794,3.89025,6.94366,5.73719,0.170737,0.11691,0.298504,0.220948,0.169812,0.284689
38,-0.455704,4.61991,1.02767,4.23734,7.15054,5.46768,-0.466104,4.62737,0.980307,4.18941,7.12938,5.43497,-0.474119,4.63723,0.965871,4.15514,7.12194,5.36969,0.168373,0.106701,0.285809,0.281895,0.153641,0.250975
39,0.200145,4.34871,1.32949,4.16026,6.97935,5.54121,0.190744,4.33605,1.37759,4.13637,7.03351,5.63651,0.182843,4.347,1.32149,4.13511,7.05422,5.60173,0.183028,0.109271,0.33325,0.246216,0.143366,0.31012
40,0.0126988,4.04373,0.798284,3.74843,7.01785,5.62725,-0.00124113,4.0166,0.949377,3.77437,6.98878,5.62313,-0.00148775,4.04827,0.665493,3.84657,6.96844,5.6223,0.173321,0.120683,0.57217,0.278367,0.151663,0.377657
