id,logV_SAEM,logVm_SAEM,logKm_SAEM,logV_mean,logVm_mean,logKm_mean,logV_mode,logVm_mode,logKm_mode,logV_sd,logVm_sd,logKm_sd
1,3.9713,6.86615,5.68655,3.96882,6.79416,5.52824,3.97802,6.81999,5.58036,0.0526132,0.120219,0.2753
2,4.15539,6.78062,5.61277,4.15402,6.74999,5.56474,4.15353,6.79055,5.56772,0.0447474,0.135505,0.339712
3,4.1828,6.9043,5.7734,4.19639,6.80122,5.61505,4.18815,6.78381,5.59088,0.0470929,0.111653,0.164327
4,4.59882,6.88183,5.54625,4.6048,6.85099,5.51251,4.60525,6.93232,5.59369,0.0479968,0.188831,0.223363
5,3.85382,6.69664,5.56941,3.85554,6.69077,5.52522,3.85427,6.73589,5.5667,0.0513398,0.130046,0.309036
6,4.21637,7.20828,5.21312,4.22948,7.16002,5.12892,4.22173,7.18245,5.17034,0.0557455,0.178987,0.273344
7,4.56262,6.93131,5.42429,4.5602,6.97353,5.49851,4.55836,6.98214,5.50315,0.0507289,0.144949,0.273553
8,4.00962,7.21905,5.10144,4.02231,7.11879,4.95658,4.02598,7.06662,4.8831,0.0649299,0.165268,0.238829
9,3.95077,7.33293,5.69665,3.99565,7.11354,5.37384,3.98612,7.19573,5.48715,0.0442669,0.0975481,0.136996
10,4.11953,7.14216,5.45205,4.13787,6.99565,5.26244,4.13791,7.04086,5.31684,0.0472041,0.179056,0.219518
11,4.20392,6.81421,5.59667,4.20599,6.81976,5.60371,4.20941,6.76703,5.51712,0.0531844,0.143934,0.215322
12,4.56717,6.99931,5.30461,4.57159,6.97896,5.2615,4.56431,6.99072,5.27596,0.0571734,0.155451,0.305317
13,4.16945,6.87724,5.43014,4.15349,6.91421,5.53041,4.15857,6.90287,5.48641,0.0495623,0.111435,0.22555
14,4.01094,7.24422,5.40859,4.01712,7.23041,5.34636,4.00859,7.24856,5.39069,0.0453003,0.0778815,0.304537
15,4.45953,7.0405,4.95567,4.45533,7.21025,5.16158,4.44498,7.22132,5.17834,0.0523366,0.121806,0.154847
16,4.20585,6.76981,5.6263,4.19967,6.76757,5.56824,4.1944,6.80167,5.57516,0.0475669,0.140486,0.32389
17,4.03817,6.62485,5.74815,4.03589,6.63731,5.78547,4.03412,6.62083,5.72201,0.051949,0.145438,0.292272
18,4.3379,6.83927,5.51453,4.34089,6.8694,5.57746,4.33549,6.85549,5.53556,0.0542921,0.143177,0.281072
19,4.40217,7.23207,5.15385,4.42858,7.12266,4.97529,4.42022,7.13111,4.99438,0.0518557,0.118812,0.184906
20,4.24547,7.08637,4.98769,4.21256,7.17897,5.14066,4.23084,7.14522,5.07839,0.0458292,0.11566,0.166051
21,3.8652,7.01368,5.2462,3.8729,7.01791,5.24295,3.865,7.02837,5.26142,0.0471656,0.0836848,0.117148
22,3.80646,7.04536,5.40847,3.80819,7.04584,5.41795,3.80502,7.06404,5.40586,0.0475506,0.0786113,0.310203
23,4.63975,6.56972,5.67479,4.64251,6.56294,5.6701,4.63591,6.61758,5.62896,0.0513491,0.172413,0.371729
24,3.99653,6.91114,5.20439,4.01423,6.90367,5.17927,4.00303,6.8889,5.17147,0.0545576,0.133407,0.185245
25,3.88176,6.41958,5.6412,3.86732,6.49306,5.72169,3.86626,6.4908,5.61469,0.0484482,0.158851,0.355405
26,4.5589,6.70746,5.58052,4.5609,6.75051,5.65394,4.55576,6.77169,5.59786,0.0516541,0.152341,0.345716
27,3.86108,7.13784,5.34269,3.88422,7.09242,5.25918,3.87144,7.1198,5.30593,0.0465516,0.126779,0.188926
28,4.9003,6.8572,5.83049,4.89669,6.72632,5.64643,4.89539,6.75551,5.66773,0.0529799,0.238354,0.293521
29,3.95646,6.34238,6.22472,3.95182,6.30943,6.19969,3.95687,6.27972,6.13521,0.0536336,0.187622,0.239911
30,4.54171,6.51798,5.88234,4.53949,6.55094,5.95173,4.54538,6.49415,5.82024,0.0547256,0.189528,0.321828
31,4.39238,7.35138,5.56293,4.41434,7.05818,5.21408,4.40576,7.17187,5.34765,0.0539455,0.183565,0.229996
32,4.14374,7.23608,5.13863,4.12651,7.25007,5.16466,4.14043,7.21855,5.0963,0.0478553,0.0820756,0.16668
33,3.77335,7.19663,5.45694,3.77066,7.22803,5.5606,3.76921,7.21024,5.4851,0.0470919,0.0924824,0.327919
34,4.19446,6.53905,5.73281,4.20357,6.51077,5.70956,4.20092,6.5124,5.68157,0.0559336,0.166818,0.322744
35,4.70578,6.86357,5.46603,4.69014,6.87247,5.46524,4.69894,6.91777,5.51819,0.0500464,0.156274,0.210119
36,4.15874,7.06668,5.49252,4.15621,7.04924,5.43565,4.15281,7.08005,5.47135,0.0456274,0.0948181,0.284289
37,4.08067,7.45132,5.59867,4.07046,7.56573,5.75161,4.09795,7.4761,5.6148,0.0470806,0.114878,0.144821
38,3.87616,6.94056,5.51528,3.86429,6.95795,5.5439,3.8726,6.93584,5.51214,0.051456,0.212213,0.259499
